MeasuredVoltage,MeasuredCurrent,StressMode,StressVoltage,StressDuration_s,HTL,Electrode,Type,Week,SourceFile,TimeIndex,AbsCurrent,LogAbsCurrent
0.920000017,18.13896643,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,56.0,18.13896643,1.258612537073489
0.939999998,17.50771451,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,57.0,17.50771451,1.243229456189407
0.959999979,16.73935978,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,58.0,16.73935978,1.2237388438068282
0.980000019,15.83026032,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,59.0,15.83026032,1.1994880566844812
1.0,14.7664141,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,60.0,14.7664141,1.1692750433670596
1.019999981,13.49733315,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,61.0,13.49733315,1.1302479675900012
1.039999962,11.91428407,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,62.0,11.91428407,1.076067950723125
1.059999943,9.796771597,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,63.0,9.796771597,0.9910829830223947
1.080000043,6.775475155,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,64.0,6.775475155,0.8309397571690067
1.100000024,2.357574978,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,65.0,2.357574978,0.37246551368853714
1.120000005,-4.027651483,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,66.0,4.027651483,0.6050518836481997
1.139999986,-13.36357244,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,67.0,13.36357244,1.1259225722126653
1.159999967,-25.31680663,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,68.0,25.31680663,1.4034089244891335
1.179999948,-29.97722035,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,69.0,29.97722035,1.4767913602604597
1.200000048,-29.97791164,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,70.0,29.97791164,1.4768013751973776
-0.200000003,30.00255417,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,0.0,30.00255417,1.4771582285580975
-0.180000007,30.00238456,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,1.0,30.00238456,1.4771557734039509
-0.159999996,30.00248222,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,2.0,30.00248222,1.4771571870625881
-0.140000001,30.00240769,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,3.0,30.00240769,1.4771561082182545
-0.119999997,30.00255931,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,4.0,30.00255931,1.477158302960878
-0.100000001,30.00241283,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,5.0,30.00241283,1.4771561826213981
-0.079999998,30.00240512,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,6.0,30.00240512,1.477156071016678
-0.059999999,30.00241283,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,7.0,30.00241283,1.4771561826213981
-0.039999999,26.2684749,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,8.0,26.2684749,1.4194348591847432
-0.02,20.55629758,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,9.0,20.55629758,1.3129448960753443
0.0,14.83246587,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,10.0,14.83246587,1.1712133577137944
0.02,9.125944846,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,11.0,9.125944846,0.9602778397691053
0.039999999,3.458064452,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,12.0,3.458064452,0.5388330835941734
0.059999999,-2.218200157,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,13.0,2.218200157,0.34600073189107816
0.079999998,-7.788694508,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,14.0,7.788694508,0.8914646701179367
0.100000001,-13.36663636,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,15.0,13.36663636,1.126022133242261
0.119999997,-19.05534044,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,16.0,19.05534044,1.280016712243686
0.140000001,-24.6223237,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,17.0,24.6223237,1.3913290365279047
0.159999996,-29.96497746,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,18.0,29.96497746,1.4766139553658257
0.180000007,-29.96659392,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,19.0,29.96659392,1.4766373827394852
0.200000003,-29.96655794,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,20.0,29.96655794,1.4766368612946763
0.219999999,-29.96624184,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,21.0,29.96624184,1.476632280147584
0.239999995,-29.9681307,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,22.0,29.9681307,1.4766596541381862
0.25999999,-29.96805103,constant,1.5,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_1p5V.csv,23.0,29.96805103,1.4766584995687635
