dark,0.1Sun
0.035269849,1.610151223
0.035847218,1.612009263
0.040346328,1.611124074
0.038312866,1.615417451
0.041506953,1.621040255
0.041964264,1.626493158
0.03614511,1.624585777
0.044728113,1.620951769
0.035117571,1.617690618
0.034029653,1.611772423
0.031558531,1.612865504
0.032451951,1.613720923
0.033734706,1.60786424
0.034520368,1.608022297
0.031172839,1.610564705
0.031142718,1.607763583
0.030957913,1.607981179
0.031062034,1.611705483
0.032344931,1.612068144
0.033117756,1.612779814
0.033561471,1.609824746
0.034106277,1.609366527
0.034960999,1.610443489
0.031626327,1.609419158
0.032299305,1.608268676
0.03345983,1.611102364
0.032941041,1.613439511
0.035156916,1.61117835
0.036085008,1.611782785
0.035483794,1.611269468
0.033111627,1.602851463
0.033039694,1.614122399
0.032487471,1.610996773
0.031737042,1.613457932
0.031884823,1.608648771
0.032806866,1.609257646
0.035276639,1.610463226
0.032595026,1.613992301
0.033535805,1.613608095
0.030925286,1.613640989
0.031191733,1.608259959
0.03210391,1.61048839
0.032659494,1.615748698
0.044059853,1.617162828
0.031809366,1.612168143
0.034080177,1.612975371
0.032441296,1.611928178
0.034500207,1.616535696
0.035962081,1.627919788
0.033487613,1.624587422
0.035002035,1.633135359
0.03335942,1.615380116
0.03470772,1.615382747
0.032295121,1.622735467
0.033793769,1.62520781
0.03195809,1.617966438
0.032408566,1.621103247
0.03230739,1.632826974
0.031831765,1.620694534
0.032095992,1.6260004
0.032020926,1.630187528
0.033779615,1.625055673
0.033892219,1.622327248
0.032258084,1.62385914
0.033166702,1.625433959
0.033165916,1.623890718
0.03844882,1.629839999
0.040545049,1.629643784
0.033592798,1.63423765
0.033420575,1.63388568
0.035483167,1.63273964
0.031340423,1.649426144
0.031011744,1.629885229
0.031384348,1.623041385
0.035849718,1.629395431
0.034389307,1.619746189
0.039244155,1.619815761
0.034613989,1.620112139
0.031020135,1.622727737
0.032826502,1.62624497
0.030283573,1.622122974
0.031230183,1.627644627
0.03062921,1.627585252
0.032990483,1.624192195
0.0347011,1.624627717
0.044205108,1.622220505
0.038476664,1.624273609
0.042215693,1.623966375
0.03467749,1.616776154
0.035091903,1.617880254
0.032386193,1.616747536
0.030816508,1.63647595
0.029917841,1.611624234
0.030526968,1.617818742
0.034366353,1.617249669
0.031261803,1.620933841
0.02997657,1.619267082
0.031131307,1.621923305
0.035998619,1.616581419
0.033312406,1.614650683
0.03368916,1.617720881
0.030334453,1.617675322
0.030810996,1.612995601
0.030858926,1.614010393
0.031180084,1.612068802
0.030300955,1.615292123
0.031259932,1.614858575
0.030659792,1.633950482
0.030895087,1.622194519
0.034276374,1.615353142
0.036805141,1.612503336
0.036064051,1.619883359
0.042148725,1.622625435
0.037062121,1.676379154
0.03704582,1.636504897
0.035562339,1.642906475
0.031900347,1.630796239
0.038088642,1.634206894
0.034178688,1.638880365
0.032878981,1.625518498
0.033369324,1.633471869
0.031395138,1.621081208
0.03148834,1.636733842
0.032951753,1.628383599
0.033008274,1.62738032
0.033405829,1.625350243
0.034344052,1.618497024
0.034243498,1.622654054
0.037190332,1.625252711
0.033419755,1.628351198
0.03160804,1.637129726
0.031686102,1.632225829
0.034252731,1.628253667
0.032661308,1.637162291
0.032949812,1.640226569
0.032988065,1.645577335
0.031677709,1.63282352
0.03205317,1.634667251
0.030512417,1.626247931
0.031383931,1.625409288
0.032808747,1.633909858
0.032335756,1.624338904
0.03208984,1.621814095
0.033302152,1.616072214
0.033852931,1.611414532
0.031938551,1.615175019
0.032167047,1.612450048
0.033634797,1.613679476
0.033208694,1.616349185
0.032033133,1.622755862
0.032872341,1.617587659
0.031502634,1.619650795
0.031285287,1.617745716
0.030512787,1.610891511
0.031242311,1.621729228
0.031452118,1.615074691
0.030196649,1.621772155
0.029734452,1.624985115
0.03046764,1.626491185
0.029770656,1.630000194
0.030644121,1.629875196
0.031496744,1.638950102
0.034126188,1.624473443
0.03584205,1.633342265
0.036800772,1.61524969
0.040827822,1.611840843
0.037041562,1.618161995
0.038463029,1.618291599
0.035642784,1.627517161
